"Pos","Num","property11","property12","Team.href","Team.text","Player Name.href","Player Name.text","Status","Quick Status","property6","property7","property8","property9","property10","index","url"
"DT","77","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/ra'shedehageman/2543478/profile","Hageman, Ra'Shede","ACT","TCKL","27","SCK","1.0","FF","0","22","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"WR","16","TDS","0","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/justinhardy/2552418/profile","Hardy, Justin","ACT","REC","21","YDS","194","AVG","9.2","23","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"OT","72","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/bryceharris/2532859/profile","Harris, Bryce","ACT","G","1","GS","0","","","24","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"LS","47","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/joshharris/2533554/profile","Harris, Josh","ACT","G","16","GS","0","","","25","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"WR","17","TDS","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/devinhester/2506897/profile","Hester, Devin","ACT","REC","--","YDS","--","AVG","--","26","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"CB","33","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/travishoward/2539975/profile","Howard, Travis","RES","TCKL","--","SCK","--","FF","--","27","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"SS","36","INT","1","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/kemalishmael/2541431/profile","Ishmael, Kemal","ACT","TCKL","46","SCK","0.0","FF","0","28","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DE","94","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/tysonjackson/71341/profile","Jackson, Tyson","ACT","TCKL","31","SCK","0.0","FF","0","29","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DT","97","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/gradyjarrett/2552327/profile","Jarrett, Grady","ACT","TCKL","24","SCK","1.0","FF","0","30","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"WR","11","TDS","8","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/juliojones/2495454/profile","Jones, Julio","ACT","REC","136","YDS","1,871","AVG","13.8","31","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DB","28","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/akeemking/2553456/profile","King, Akeem","ACT","TCKL","1","SCK","0.0","FF","0","32","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"G","67","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/andylevitre/71363/profile","Levitre, Andy","ACT","G","16","GS","16","","","33","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"OT","75","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/jakelong/278/profile","Long, Jake","ACT","G","4","GS","0","","","34","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"T","70","","","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/jakematthews/2543758/profile","Matthews, Jake","ACT","G","16","GS","16","","","35","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
"DT","74","INT","--","http://www.nfl.com/teams/atlantafalcons/profile?team=ATL","ATL","http://www.nfl.com/player/joeymbu/2553564/profile","Mbu, Joey","ACT","TCKL","4","SCK","0.0","FF","0","36","http://www.nfl.com/players/search?category=team&playerType=current&filter=0200"
